CODIGO,CURSO,TITULO,TASA RENDIMIENTO
209,2013,GRADUADO/A EN ARQUITECTURA,"65,29"
209,2014,GRADUADO/A EN ARQUITECTURA,"68,25"
209,2015,GRADUADO/A EN ARQUITECTURA,"68,71"
210,2012,GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),"86,67"
210,2013,GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),"81,96"
210,2015,GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),"40,82"
212,2011,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"59,5"
212,2012,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"55,55"
212,2013,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"65,94"
212,2014,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"67,49"
212,2015,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"68,07"
213,2011,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"63,51"
213,2012,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"69,4"
213,2013,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"73,76"
213,2014,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"63,44"
213,2015,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"69,47"
214,2011,GRADUADO/A EN SOCIOLOGÍA,"56,41"
214,2012,GRADUADO/A EN SOCIOLOGÍA,"66,78"
214,2013,GRADUADO/A EN SOCIOLOGÍA,"73,11"
214,2014,GRADUADO/A EN SOCIOLOGÍA,"70,35"
214,2015,GRADUADO/A EN SOCIOLOGÍA,"72,84"
220,2011,GRADUADO/A EN INGENIERÍA QUÍMICA,"44,98"
220,2012,GRADUADO/A EN INGENIERÍA QUÍMICA,"53,85"
220,2013,GRADUADO/A EN INGENIERÍA QUÍMICA,"60,58"
220,2014,GRADUADO/A EN INGENIERÍA QUÍMICA,"58,08"
220,2015,GRADUADO/A EN INGENIERÍA QUÍMICA,"59,89"
221,2011,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"65,34"
221,2012,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"66,9"
221,2013,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"71,59"
221,2014,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"71,78"
221,2015,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"74,51"
222,2011,GRADUADO/A EN MEDICINA,"93,63"
222,2012,GRADUADO/A EN MEDICINA,"92,48"
222,2013,GRADUADO/A EN MEDICINA,"92,67"
222,2014,GRADUADO/A EN MEDICINA,"93,25"
222,2015,GRADUADO/A EN MEDICINA,"92,14"
223,2011,GRADUADO/A EN ESTADÍSTICA,"42,79"
223,2012,GRADUADO/A EN ESTADÍSTICA,"43,33"
223,2013,GRADUADO/A EN ESTADÍSTICA,"55,33"
223,2014,GRADUADO/A EN ESTADÍSTICA,"55,86"
223,2015,GRADUADO/A EN ESTADÍSTICA,"57,33"
227,2011,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"83,49"
227,2012,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"94,48"
227,2013,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"93,05"
227,2014,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"94,14"
227,2015,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"93,15"
228,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"76,15"
228,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"81,67"
228,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"82,95"
228,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"85,65"
228,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,83
230,2011,GRADUADO/A EN EDIFICACIÓN,"57,11"
230,2012,GRADUADO/A EN EDIFICACIÓN,"57,23"
230,2013,GRADUADO/A EN EDIFICACIÓN,"60,29"
230,2014,GRADUADO/A EN EDIFICACIÓN,"63,29"
230,2015,GRADUADO/A EN EDIFICACIÓN,"61,01"
231,2011,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"64,25"
231,2012,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"72,7"
231,2013,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"78,75"
231,2014,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"82,1"
231,2015,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"77,8"
233,2011,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"76,39"
233,2012,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"73,18"
233,2013,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"67,77"
233,2014,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"70,08"
233,2015,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"66,75"
235,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"80,4"
235,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"75,64"
235,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"75,65"
235,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"72,85"
235,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"73,24"
236,2011,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"72,98"
236,2012,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"66,03"
236,2013,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"73,69"
236,2014,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"73,54"
236,2015,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"74,7"
237,2011,GRADUADO/A EN INGENIERÍA CIVIL,"72,86"
237,2012,GRADUADO/A EN INGENIERÍA CIVIL,"55,76"
237,2013,GRADUADO/A EN INGENIERÍA CIVIL,"61,61"
237,2014,GRADUADO/A EN INGENIERÍA CIVIL,"61,39"
237,2015,GRADUADO/A EN INGENIERÍA CIVIL,"57,24"
238,2011,GRADUADO/A EN TURISMO,"74,29"
238,2012,GRADUADO/A EN TURISMO,"79,86"
238,2013,GRADUADO/A EN TURISMO,"84,45"
238,2014,GRADUADO/A EN TURISMO,"81,09"
238,2015,GRADUADO/A EN TURISMO,"81,59"
239,2011,GRADUADO/A EN ECONOMÍA,"57,55"
239,2012,GRADUADO/A EN ECONOMÍA,61
239,2013,GRADUADO/A EN ECONOMÍA,"65,24"
239,2014,GRADUADO/A EN ECONOMÍA,"64,89"
239,2015,GRADUADO/A EN ECONOMÍA,"68,12"
241,2011,GRADUADO/A EN FISIOTERAPIA,"84,74"
241,2012,GRADUADO/A EN FISIOTERAPIA,"88,85"
241,2013,GRADUADO/A EN FISIOTERAPIA,"90,9"
241,2014,GRADUADO/A EN FISIOTERAPIA,"89,27"
241,2015,GRADUADO/A EN FISIOTERAPIA,"93,88"
242,2011,GRADUADO/A EN DERECHO,"67,05"
242,2012,GRADUADO/A EN DERECHO,"63,67"
242,2013,GRADUADO/A EN DERECHO,"67,74"
242,2014,GRADUADO/A EN DERECHO,"70,5"
242,2015,GRADUADO/A EN DERECHO,"69,09"
243,2011,GRADUADO/A EN TERAPIA OCUPACIONAL,"79,33"
243,2012,GRADUADO/A EN TERAPIA OCUPACIONAL,"88,52"
243,2013,GRADUADO/A EN TERAPIA OCUPACIONAL,"92,7"
243,2014,GRADUADO/A EN TERAPIA OCUPACIONAL,"94,74"
243,2015,GRADUADO/A EN TERAPIA OCUPACIONAL,"91,72"
244,2011,GRADUADO/A EN EDUCACIÓN SOCIAL,"90,88"
244,2012,GRADUADO/A EN EDUCACIÓN SOCIAL,"93,58"
244,2013,GRADUADO/A EN EDUCACIÓN SOCIAL,"93,67"
244,2014,GRADUADO/A EN EDUCACIÓN SOCIAL,"94,53"
244,2015,GRADUADO/A EN EDUCACIÓN SOCIAL,"94,52"
245,2013,GRADUADO/A EN CRIMINOLOGÍA,"91,2"
245,2014,GRADUADO/A EN CRIMINOLOGÍA,"94,46"
245,2015,GRADUADO/A EN CRIMINOLOGÍA,"89,95"
249,2011,GRADUADO/A EN TRABAJO SOCIAL,"88,49"
249,2012,GRADUADO/A EN TRABAJO SOCIAL,"91,2"
249,2013,GRADUADO/A EN TRABAJO SOCIAL,"91,12"
249,2014,GRADUADO/A EN TRABAJO SOCIAL,"90,49"
249,2015,GRADUADO/A EN TRABAJO SOCIAL,"89,39"
251,2015,GRADUADO/A EN BIOTECNOLOGÍA,"88,5"
252,2011,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"86,32"
252,2012,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"85,5"
252,2013,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"84,42"
252,2014,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"87,58"
252,2015,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"85,07"
256,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"85,92"
256,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"93,38"
256,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"93,66"
256,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"93,93"
257,2011,GRADUADO/A EN EDUCACIÓN PRIMARIA,"83,45"
257,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA,"87,24"
257,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA,"90,4"
257,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA,"90,95"
257,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA,"91,7"
258,2011,GRADUADO/A EN EDUCACIÓN INFANTIL,"90,68"
258,2012,GRADUADO/A EN EDUCACIÓN INFANTIL,"94,33"
258,2013,GRADUADO/A EN EDUCACIÓN INFANTIL,"95,96"
258,2014,GRADUADO/A EN EDUCACIÓN INFANTIL,"95,54"
258,2015,GRADUADO/A EN EDUCACIÓN INFANTIL,"95,74"
259,2011,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"64,72"
259,2012,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"64,36"
259,2013,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"72,75"
259,2014,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"71,14"
259,2015,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"69,32"
260,2011,GRADUADO/A EN BELLAS ARTES,"82,68"
260,2012,GRADUADO/A EN BELLAS ARTES,"87,01"
260,2013,GRADUADO/A EN BELLAS ARTES,"85,22"
260,2014,GRADUADO/A EN BELLAS ARTES,85
260,2015,GRADUADO/A EN BELLAS ARTES,"86,53"
261,2011,GRADUADO/A EN BIOQUÍMICA,"69,68"
261,2012,GRADUADO/A EN BIOQUÍMICA,"86,33"
261,2013,GRADUADO/A EN BIOQUÍMICA,"90,83"
261,2014,GRADUADO/A EN BIOQUÍMICA,"94,69"
261,2015,GRADUADO/A EN BIOQUÍMICA,"93,29"
263,2011,GRADUADO/A EN FILOSOFÍA,"54,1"
263,2012,GRADUADO/A EN FILOSOFÍA,"54,93"
263,2013,GRADUADO/A EN FILOSOFÍA,"69,79"
263,2014,GRADUADO/A EN FILOSOFÍA,"67,25"
263,2015,GRADUADO/A EN FILOSOFÍA,"70,6"
264,2011,GRADUADO/A EN PSICOLOGÍA,"84,89"
264,2012,GRADUADO/A EN PSICOLOGÍA,"81,9"
264,2013,GRADUADO/A EN PSICOLOGÍA,"83,2"
264,2014,GRADUADO/A EN PSICOLOGÍA,"85,43"
264,2015,GRADUADO/A EN PSICOLOGÍA,"86,53"
265,2011,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"83,03"
265,2012,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"84,54"
265,2013,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"87,76"
265,2014,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"91,17"
265,2015,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"86,52"
266,2014,GRADUADO/A EN ARQUEOLOGÍA,"75,36"
266,2015,GRADUADO/A EN ARQUEOLOGÍA,"73,43"
267,2011,GRADUADO/A EN FÍSICA,"51,42"
267,2012,GRADUADO/A EN FÍSICA,"49,06"
267,2013,GRADUADO/A EN FÍSICA,"56,63"
267,2014,GRADUADO/A EN FÍSICA,"62,18"
267,2015,GRADUADO/A EN FÍSICA,"57,74"
268,2011,GRADUADO/A EN GEOLOGÍA,"39,81"
268,2012,GRADUADO/A EN GEOLOGÍA,"53,42"
268,2013,GRADUADO/A EN GEOLOGÍA,"53,08"
268,2014,GRADUADO/A EN GEOLOGÍA,"60,67"
268,2015,GRADUADO/A EN GEOLOGÍA,"60,47"
270,2011,GRADUADO/A EN MATEMÁTICAS,"43,59"
270,2012,GRADUADO/A EN MATEMÁTICAS,"57,49"
270,2013,GRADUADO/A EN MATEMÁTICAS,"64,39"
270,2014,GRADUADO/A EN MATEMÁTICAS,"66,26"
270,2015,GRADUADO/A EN MATEMÁTICAS,"63,9"
273,2011,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"70,33"
273,2012,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"80,13"
273,2013,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"79,01"
273,2014,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"80,16"
273,2015,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"79,63"
276,2011,GRADUADO/A EN FILOLOGÍA CLÁSICA,"52,45"
276,2012,GRADUADO/A EN FILOLOGÍA CLÁSICA,"63,13"
276,2013,GRADUADO/A EN FILOLOGÍA CLÁSICA,"72,4"
276,2014,GRADUADO/A EN FILOLOGÍA CLÁSICA,"63,98"
276,2015,GRADUADO/A EN FILOLOGÍA CLÁSICA,"60,84"
277,2011,GRADUADO/A EN ESTUDIOS FRANCESES,"54,71"
277,2012,GRADUADO/A EN ESTUDIOS FRANCESES,"65,04"
277,2013,GRADUADO/A EN ESTUDIOS FRANCESES,"68,24"
277,2014,GRADUADO/A EN ESTUDIOS FRANCESES,"70,41"
277,2015,GRADUADO/A EN ESTUDIOS FRANCESES,"71,53"
279,2011,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"48,77"
279,2012,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"57,94"
279,2013,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"73,5"
279,2014,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"68,48"
279,2015,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"69,01"
283,2011,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"68,26"
283,2012,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"82,82"
283,2013,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"79,14"
283,2014,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"83,4"
283,2015,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"83,35"
285,2011,GRADUADO/A EN ESTUDIOS INGLESES,77
285,2012,GRADUADO/A EN ESTUDIOS INGLESES,"72,42"
285,2013,GRADUADO/A EN ESTUDIOS INGLESES,"75,06"
285,2014,GRADUADO/A EN ESTUDIOS INGLESES,"75,26"
285,2015,GRADUADO/A EN ESTUDIOS INGLESES,"73,71"
286,2011,GRADUADO/A EN LOGOPEDIA,"77,57"
286,2012,GRADUADO/A EN LOGOPEDIA,"86,83"
286,2013,GRADUADO/A EN LOGOPEDIA,"93,71"
286,2014,GRADUADO/A EN LOGOPEDIA,"92,29"
286,2015,GRADUADO/A EN LOGOPEDIA,"91,74"
287,2011,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"67,59"
287,2012,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"63,69"
287,2013,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"66,39"
287,2014,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"69,14"
287,2015,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"66,5"
288,2011,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"81,59"
288,2012,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"88,21"
288,2013,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"85,82"
288,2014,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"86,97"
288,2015,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"87,9"
290,2011,GRADUADO/A EN LITERATURAS COMPARADAS,"49,51"
290,2012,GRADUADO/A EN LITERATURAS COMPARADAS,"71,43"
290,2013,GRADUADO/A EN LITERATURAS COMPARADAS,"67,8"
290,2014,GRADUADO/A EN LITERATURAS COMPARADAS,"72,36"
290,2015,GRADUADO/A EN LITERATURAS COMPARADAS,"73,48"
291,2011,GRADUADO/A EN QUÍMICA,"48,83"
291,2012,GRADUADO/A EN QUÍMICA,"53,72"
291,2013,GRADUADO/A EN QUÍMICA,"56,67"
291,2014,GRADUADO/A EN QUÍMICA,"63,62"
291,2015,GRADUADO/A EN QUÍMICA,"64,43"
292,2011,GRADUADO/A EN HISTORIA,"54,14"
292,2012,GRADUADO/A EN HISTORIA,"63,6"
292,2013,GRADUADO/A EN HISTORIA,"73,33"
292,2014,GRADUADO/A EN HISTORIA,"73,68"
292,2015,GRADUADO/A EN HISTORIA,"75,12"
293,2011,GRADUADO/A EN HISTORIA DEL ARTE,"59,12"
293,2012,GRADUADO/A EN HISTORIA DEL ARTE,"63,27"
293,2013,GRADUADO/A EN HISTORIA DEL ARTE,"70,73"
293,2014,GRADUADO/A EN HISTORIA DEL ARTE,"75,11"
293,2015,GRADUADO/A EN HISTORIA DEL ARTE,"74,47"
294,2012,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"75,09"
294,2013,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"74,23"
294,2014,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"70,78"
294,2015,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"79,54"
296,2011,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"33,45"
296,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"38,01"
296,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"50,99"
296,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"57,76"
296,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"57,76"
297,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"49,11"
297,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"57,98"
297,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"67,51"
297,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"76,33"
298,2011,GRADUADO/A EN PEDAGOGÍA,"80,77"
298,2012,GRADUADO/A EN PEDAGOGÍA,"85,91"
298,2013,GRADUADO/A EN PEDAGOGÍA,"92,87"
298,2014,GRADUADO/A EN PEDAGOGÍA,"94,03"
298,2015,GRADUADO/A EN PEDAGOGÍA,"92,24"
299,2011,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"57,62"
299,2012,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"62,92"
299,2013,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"74,58"
299,2014,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"79,68"
299,2015,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"76,22"
407,2011,GRADUADO/A EN ENFERMERÍA (CEUTA),"69,42"
407,2012,GRADUADO/A EN ENFERMERÍA (CEUTA),"72,61"
407,2013,GRADUADO/A EN ENFERMERÍA (CEUTA),"81,92"
407,2014,GRADUADO/A EN ENFERMERÍA (CEUTA),"90,13"
407,2015,GRADUADO/A EN ENFERMERÍA (CEUTA),"92,89"
414,2012,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"76,2"
414,2013,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"84,4"
414,2014,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"85,48"
414,2015,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"90,09"
433,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"59,78"
433,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"72,15"
433,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"77,98"
433,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"81,31"
433,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"77,87"
457,2011,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"71,02"
457,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"66,96"
457,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"78,2"
457,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),78
457,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"79,91"
458,2011,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"64,34"
458,2012,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"78,69"
458,2013,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"84,31"
458,2014,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"86,21"
458,2015,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"89,1"
496,2011,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"21,64"
496,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"46,1"
496,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"45,91"
496,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"47,59"
496,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"54,28"
507,2011,GRADUADO/A EN ENFERMERÍA (MELILLA),"77,57"
507,2012,GRADUADO/A EN ENFERMERÍA (MELILLA),"85,37"
507,2013,GRADUADO/A EN ENFERMERÍA (MELILLA),"86,87"
507,2014,GRADUADO/A EN ENFERMERÍA (MELILLA),"89,71"
507,2015,GRADUADO/A EN ENFERMERÍA (MELILLA),"88,66"
